county,value,date,fips
allegany,4967,2020-06-15,24001
allegany,5906,2020-06-16,24001
allegany,6008,2020-06-17,24001
allegany,6044,2020-06-18,24001
allegany,6450,2020-06-19,24001
allegany,6742,2020-06-20,24001
allegany,6809,2020-06-21,24001
allegany,6867,2020-06-22,24001
allegany,7535,2020-06-23,24001
allegany,7884,2020-06-24,24001
allegany,8258,2020-06-25,24001
allegany,8396,2020-06-26,24001
allegany,8469,2020-06-27,24001
allegany,8499,2020-06-28,24001
allegany,8564,2020-06-29,24001
allegany,8652,2020-06-30,24001
allegany,8715,2020-07-01,24001
allegany,8797,2020-07-02,24001
allegany,8895,2020-07-03,24001
allegany,8981,2020-07-04,24001
allegany,9046,2020-07-05,24001
allegany,9059,2020-07-06,24001
allegany,9145,2020-07-07,24001
allegany,10356,2020-07-13,24001
allegany,10434,2020-07-14,24001
allegany,10941,2020-07-15,24001
allegany,11219,2020-07-16,24001
allegany,11742,2020-07-17,24001
allegany,11878,2020-07-18,24001
allegany,12121,2020-07-19,24001
allegany,12188,2020-07-20,24001
allegany,12262,2020-07-21,24001
allegany,12784,2020-07-22,24001
allegany,12915,2020-07-23,24001
allegany,13065,2020-07-24,24001
allegany,13435,2020-07-25,24001
allegany,13546,2020-07-26,24001
allegany,13710,2020-07-27,24001
allegany,13817,2020-07-28,24001
allegany,13944,2020-07-29,24001
allegany,14590,2020-07-30,24001
allegany,14978,2020-07-31,24001
allegany,15258,2020-08-01,24001
allegany,15329,2020-08-02,24001
allegany,15704,2020-08-03,24001
allegany,15739,2020-08-04,24001
allegany,16250,2020-08-05,24001
allegany,16397,2020-08-06,24001
allegany,17160,2020-08-07,24001
allegany,17233,2020-08-08,24001
allegany,17735,2020-08-09,24001
allegany,18073,2020-08-10,24001
allegany,18306,2020-08-11,24001
allegany,18561,2020-08-12,24001
allegany,19060,2020-08-13,24001
allegany,19347,2020-08-14,24001
allegany,19987,2020-08-15,24001
allegany,20739,2020-08-16,24001
allegany,21357,2020-08-17,24001
allegany,9218,2020-07-08,24001
allegany,9459,2020-07-09,24001
allegany,9550,2020-07-10,24001
allegany,9696,2020-07-11,24001
allegany,9923,2020-07-12,24001
allegany,21821,2020-08-18,24001
allegany,22091,2020-08-19,24001
allegany,22297,2020-08-20,24001
allegany,23169,2020-08-21,24001
allegany,23809,2020-08-22,24001
allegany,24156,2020-08-23,24001
allegany,24354,2020-08-24,24001
allegany,24454,2020-08-25,24001
anne_arundel,38854,2020-06-15,24003
anne_arundel,39424,2020-06-16,24003
anne_arundel,40535,2020-06-17,24003
anne_arundel,41427,2020-06-18,24003
anne_arundel,42194,2020-06-19,24003
anne_arundel,43118,2020-06-20,24003
anne_arundel,44001,2020-06-21,24003
anne_arundel,44714,2020-06-22,24003
anne_arundel,45382,2020-06-23,24003
anne_arundel,45914,2020-06-24,24003
anne_arundel,46939,2020-06-25,24003
anne_arundel,47639,2020-06-26,24003
anne_arundel,48616,2020-06-27,24003
anne_arundel,49090,2020-06-28,24003
anne_arundel,50061,2020-06-29,24003
anne_arundel,50711,2020-06-30,24003
anne_arundel,51479,2020-07-01,24003
anne_arundel,53059,2020-07-02,24003
anne_arundel,54398,2020-07-03,24003
anne_arundel,55548,2020-07-04,24003
anne_arundel,56212,2020-07-05,24003
anne_arundel,56865,2020-07-06,24003
anne_arundel,57488,2020-07-07,24003
anne_arundel,65856,2020-07-13,24003
anne_arundel,67162,2020-07-14,24003
anne_arundel,68912,2020-07-15,24003
anne_arundel,70668,2020-07-16,24003
anne_arundel,72681,2020-07-17,24003
anne_arundel,74591,2020-07-18,24003
anne_arundel,76792,2020-07-19,24003
anne_arundel,78082,2020-07-20,24003
