county,fips,date,cases,deaths,prob_deaths,new_cases,new_deaths,new_prob_deaths,population,cases_per_100k,deaths_per_100k,prob_deaths_per_100k
allegany,24001,2020-04-13,15,0,0,2,0,NA,71977,20.839990552537614,0,0
anne_arundel,24003,2020-04-13,724,29,0,65,2,NA,567696,127.5330458555283,5.108367858854034,0
baltimore,24005,2020-04-13,1361,31,0,104,1,NA,827625,164.4464582389367,3.745657755626038,0
baltimore_city,24510,2020-04-13,873,26,0,61,2,NA,614700,142.02049780380673,4.229705547421506,0
calvert,24009,2020-04-13,94,1,0,4,0,NA,91082,103.20370655014163,1.0979117718100173,0
caroline,24011,2020-04-13,21,0,0,4,0,NA,32875,63.87832699619772,0,0
carroll,24013,2020-04-13,250,28,0,14,3,NA,167522,149.23413044256876,16.7142226095677,0
cecil,24015,2020-04-13,83,1,0,9,0,NA,102517,80.96218188202933,0.975447974482281,0
charles,24017,2020-04-13,274,10,0,21,1,NA,157671,173.77957899677176,6.342320401342035,0
dorchester,24019,2020-04-13,12,1,0,3,1,NA,32261,37.19661510802517,3.099717925668764,0
frederick,24021,2020-04-13,417,12,0,49,0,NA,248472,167.82575099005118,4.8295180141021925,0
garrett,24023,2020-04-13,4,0,0,0,0,NA,29376,13.616557734204795,0,0
harford,24025,2020-04-13,142,0,0,13,0,NA,251025,56.56807090927198,0,0
howard,24027,2020-04-13,386,8,0,15,2,NA,315327,122.41260659569272,2.537048841361507,0
kent,24029,2020-04-13,11,0,0,0,0,NA,19593,56.142499872403405,0,0
montgomery,24031,2020-04-13,1756,48,0,125,6,NA,1040133,168.82456378174714,4.614794454170765,0
prince_georges,24033,2020-04-13,2205,63,0,170,8,NA,906202,243.32323256845606,6.952092359098743,0
queen_annes,24035,2020-04-13,19,0,0,0,0,NA,49355,38.49660622024111,0,0
somerset,24039,2020-04-13,6,0,0,2,0,NA,25737,23.312740412635502,0,0
st_marys,24037,2020-04-13,95,1,0,13,1,NA,111531,85.17811191507293,0.8966117043691888,0
talbot,24041,2020-04-13,16,1,0,2,0,NA,37211,42.99803821450646,2.6873773884066536,0
washington,24043,2020-04-13,93,1,0,18,0,NA,149811,62.07821855537978,0.6675077264019331,0
wicomico,24045,2020-04-13,58,1,0,16,0,NA,102172,56.767020318678306,0.9787417296323847,0
worcester,24047,2020-04-13,21,0,0,1,0,NA,51564,40.726087968350015,0,0
allegany,24001,2020-04-14,17,0,0,2,0,0,71977,23.61865595954263,0,0
anne_arundel,24003,2020-04-14,783,32,0,59,3,0,567696,137.92593218905893,5.636819706321694,0
baltimore,24005,2020-04-14,1377,41,0,16,10,0,827625,166.37970095151792,4.953934450989276,0
baltimore_city,24510,2020-04-14,962,29,0,89,3,0,614700,156.49910525459575,4.717748495200911,0
calvert,24009,2020-04-14,99,1,0,5,0,0,91082,108.69326540919172,1.0979117718100173,0
caroline,24011,2020-04-14,21,0,0,0,0,0,32875,63.87832699619772,0,0
carroll,24013,2020-04-14,259,29,0,9,1,0,167522,154.6065591385012,17.311159131337973,0
cecil,24015,2020-04-14,85,2,0,2,1,0,102517,82.91307783099388,1.950895948964562,0
charles,24017,2020-04-14,292,12,0,18,2,0,157671,185.19575571918742,7.610784481610442,0
dorchester,24019,2020-04-14,14,1,0,2,0,0,32261,43.396050959362704,3.099717925668764,0
frederick,24021,2020-04-14,441,14,0,24,2,0,248472,177.4847870182556,5.634437683119224,0
garrett,24023,2020-04-14,4,0,0,0,0,0,29376,13.616557734204795,0,0
harford,24025,2020-04-14,147,0,0,5,0,0,251025,58.55990439199282,0,0
howard,24027,2020-04-14,403,9,0,17,1,0,315327,127.80383538358593,2.8541799465316955,0
kent,24029,2020-04-14,11,0,0,0,0,0,19593,56.142499872403405,0,0
montgomery,24031,2020-04-14,1883,54,0,127,6,0,1040133,181.03454077507396,5.19164376094211,0
prince_georges,24033,2020-04-14,2356,72,0,151,9,0,906202,259.9861840958197,7.945248410398564,0
queen_annes,24035,2020-04-14,19,0,0,0,0,0,49355,38.49660622024111,0,0
somerset,24039,2020-04-14,5,0,0,0,0,0,25737,19.427283677196254,0,0
st_marys,24037,2020-04-14,98,3,0,3,2,0,111531,87.86794702818051,2.6898351131075664,0
talbot,24041,2020-04-14,16,1,0,0,0,0,37211,42.99803821450646,2.6873773884066536,0
washington,24043,2020-04-14,96,1,0,3,0,0,149811,64.08074173458557,0.6675077264019331,0
wicomico,24045,2020-04-14,63,1,0,5,0,0,102172,61.660728966840225,0.9787417296323847,0
worcester,24047,2020-04-14,21,0,0,0,0,0,51564,40.726087968350015,0,0
allegany,24001,2020-04-15,17,1,0,0,1,0,71977,23.61865595954263,1.3893327035025076,0
anne_arundel,24003,2020-04-15,845,25,5,62,0,5,567696,148.84727037005723,4.4037653955638225,0.8807530791127647
baltimore,24005,2020-04-15,1485,27,5,108,0,5,827625,179.42908926144085,3.2623470774807433,0.6041383476816191
baltimore_city,24510,2020-04-15,1060,25,2,98,0,2,614700,172.44184154872295,4.067024564828372,0.32536196518626975
calvert,24009,2020-04-15,102,1,0,3,0,0,91082,111.98700072462178,1.0979117718100173,0
caroline,24011,2020-04-15,22,0,0,1,0,0,32875,66.92015209125475,0,0
carroll,24013,2020-04-15,262,20,2,3,0,2,167522,156.39736870381205,11.9387304354055,1.19387304354055
cecil,24015,2020-04-15,90,2,0,5,0,0,102517,87.7903177034053,1.950895948964562,0
charles,24017,2020-04-15,310,11,0,18,0,0,157671,196.6119324416031,6.9765524414762385,0
dorchester,24019,2020-04-15,16,1,0,2,0,0,32261,49.59548681070022,3.099717925668764,0
