date,county,deaths,fips,new_deaths
2020-04-03,allegany,0,24001,NA
2020-04-03,anne_arundel,4,24003,NA
2020-04-03,baltimore,3,24005,NA
2020-04-03,baltimore_city,4,24510,NA
2020-04-03,calvert,1,24009,NA
2020-04-03,caroline,0,24011,NA
2020-04-03,carroll,5,24013,NA
2020-04-03,cecil,1,24015,NA
2020-04-03,charles,1,24017,NA
2020-04-03,dorchester,0,24019,NA
2020-04-03,frederick,2,24021,NA
2020-04-03,garrett,0,24023,NA
2020-04-03,harford,0,24025,NA
2020-04-03,howard,2,24027,NA
2020-04-03,kent,0,24029,NA
2020-04-03,montgomery,9,24031,NA
2020-04-03,prince_georges,9,24033,NA
2020-04-03,queen_annes,0,24035,NA
2020-04-03,somerset,0,24039,NA
2020-04-03,st_marys,0,24037,NA
2020-04-03,talbot,0,24041,NA
2020-04-03,washington,0,24043,NA
2020-04-03,wicomico,1,24045,NA
2020-04-03,worcester,0,24047,NA
2020-04-03,unknown,0,NA,NA
2020-04-04,allegany,0,24001,0
2020-04-04,anne_arundel,6,24003,2
2020-04-04,baltimore,4,24005,1
2020-04-04,baltimore_city,6,24510,2
2020-04-04,calvert,1,24009,0
2020-04-04,caroline,0,24011,0
2020-04-04,carroll,6,24013,1
2020-04-04,cecil,1,24015,0
2020-04-04,charles,1,24017,0
2020-04-04,dorchester,0,24019,0
2020-04-04,frederick,2,24021,0
2020-04-04,garrett,0,24023,0
2020-04-04,harford,0,24025,0
2020-04-04,howard,3,24027,1
2020-04-04,kent,0,24029,0
2020-04-04,montgomery,9,24031,0
2020-04-04,prince_georges,13,24033,4
2020-04-04,queen_annes,0,24035,0
2020-04-04,somerset,0,24039,0
2020-04-04,st_marys,0,24037,0
2020-04-04,talbot,0,24041,0
2020-04-04,washington,0,24043,0
2020-04-04,wicomico,1,24045,0
2020-04-04,worcester,0,24047,0
2020-04-04,unknown,0,NA,0
2020-04-05,allegany,0,24001,0
2020-04-05,anne_arundel,6,24003,0
2020-04-05,baltimore,6,24005,2
2020-04-05,baltimore_city,7,24510,1
2020-04-05,calvert,1,24009,0
2020-04-05,caroline,0,24011,0
2020-04-05,carroll,8,24013,2
2020-04-05,cecil,1,24015,0
2020-04-05,charles,2,24017,1
2020-04-05,dorchester,0,24019,0
2020-04-05,frederick,3,24021,1
2020-04-05,garrett,0,24023,0
2020-04-05,harford,0,24025,0
2020-04-05,howard,3,24027,0
2020-04-05,kent,0,24029,0
2020-04-05,montgomery,13,24031,4
2020-04-05,prince_georges,16,24033,3
2020-04-05,queen_annes,0,24035,0
2020-04-05,somerset,0,24039,0
2020-04-05,st_marys,0,24037,0
2020-04-05,talbot,0,24041,0
2020-04-05,washington,0,24043,0
2020-04-05,wicomico,1,24045,0
2020-04-05,worcester,0,24047,0
2020-04-05,unknown,0,NA,0
2020-04-06,allegany,0,24001,0
2020-04-06,anne_arundel,8,24003,2
2020-04-06,baltimore,11,24005,5
2020-04-06,baltimore_city,8,24510,1
2020-04-06,calvert,1,24009,0
2020-04-06,caroline,0,24011,0
2020-04-06,carroll,10,24013,2
2020-04-06,cecil,1,24015,0
2020-04-06,charles,2,24017,0
2020-04-06,dorchester,0,24019,0
2020-04-06,frederick,4,24021,1
2020-04-06,garrett,0,24023,0
2020-04-06,harford,0,24025,0
2020-04-06,howard,3,24027,0
2020-04-06,kent,0,24029,0
2020-04-06,montgomery,19,24031,6
2020-04-06,prince_georges,23,24033,7
2020-04-06,queen_annes,0,24035,0
2020-04-06,somerset,0,24039,0
2020-04-06,st_marys,0,24037,0
2020-04-06,talbot,0,24041,0
2020-04-06,washington,0,24043,0
2020-04-06,wicomico,1,24045,0
2020-04-06,worcester,0,24047,0
2020-04-06,unknown,0,NA,0
2020-04-07,allegany,0,24001,0
2020-04-07,anne_arundel,8,24003,0
2020-04-07,baltimore,11,24005,0
2020-04-07,baltimore_city,9,24510,1
2020-04-07,calvert,1,24009,0
2020-04-07,caroline,0,24011,0
2020-04-07,carroll,16,24013,6
2020-04-07,cecil,1,24015,0
2020-04-07,charles,2,24017,0
2020-04-07,dorchester,0,24019,0
2020-04-07,frederick,4,24021,0
2020-04-07,garrett,0,24023,0
2020-04-07,harford,0,24025,0
2020-04-07,howard,3,24027,0
2020-04-07,kent,0,24029,0
2020-04-07,montgomery,21,24031,2
2020-04-07,prince_georges,26,24033,3
2020-04-07,queen_annes,0,24035,0
2020-04-07,somerset,0,24039,0
2020-04-07,st_marys,0,24037,0
2020-04-07,talbot,0,24041,0
2020-04-07,washington,0,24043,0
2020-04-07,wicomico,1,24045,0
2020-04-07,worcester,0,24047,0
2020-04-07,unknown,0,NA,0
2020-04-08,allegany,0,24001,0
2020-04-08,anne_arundel,11,24003,3
2020-04-08,baltimore,13,24005,2
2020-04-08,baltimore_city,10,24510,1
2020-04-08,calvert,2,24009,1
2020-04-08,caroline,0,24011,0
2020-04-08,carroll,18,24013,2
